run_accession	sample_accession	instrument_model	fastq_ftp	sample_alias	first_created
SRR23083801	SAMN32742904	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/001/SRR23083801/SRR23083801.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/001/SRR23083801/SRR23083801_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/001/SRR23083801/SRR23083801_2.fastq.gz	B_121921	2023-01-16
SRR23083802	SAMN32742904	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/002/SRR23083802/SRR23083802_1.fastq.gz	B_121921	2023-01-16
SRR23083803	SAMN32742895	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/003/SRR23083803/SRR23083803_1.fastq.gz	A_10922	2023-01-16
SRR23083804	SAMN32742903	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/004/SRR23083804/SRR23083804.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/004/SRR23083804/SRR23083804_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/004/SRR23083804/SRR23083804_2.fastq.gz	B_121221	2023-01-16
SRR23083805	SAMN32742903	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/005/SRR23083805/SRR23083805_1.fastq.gz	B_121221	2023-01-16
SRR23083806	SAMN32742902	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/006/SRR23083806/SRR23083806.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/006/SRR23083806/SRR23083806_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/006/SRR23083806/SRR23083806_2.fastq.gz	B_120521	2023-01-16
SRR23083807	SAMN32742902	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/007/SRR23083807/SRR23083807_1.fastq.gz	B_120521	2023-01-16
SRR23083808	SAMN32742901	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/008/SRR23083808/SRR23083808.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/008/SRR23083808/SRR23083808_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/008/SRR23083808/SRR23083808_2.fastq.gz	B_10922	2023-01-16
SRR23083809	SAMN32742901	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/009/SRR23083809/SRR23083809_1.fastq.gz	B_10922	2023-01-16
SRR23083810	SAMN32742900	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/010/SRR23083810/SRR23083810.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/010/SRR23083810/SRR23083810_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/010/SRR23083810/SRR23083810_2.fastq.gz	B_10222	2023-01-18
SRR23083811	SAMN32742900	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/011/SRR23083811/SRR23083811_1.fastq.gz	B_10222	2023-01-16
SRR23083812	SAMN32742937	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/012/SRR23083812/SRR23083812_1.fastq.gz	H_121221	2023-01-16
