run_accession	sample_accession	fastq_ftp	sample_alias
SRR14530807	SAMN19167913	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/007/SRR14530807/SRR14530807_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/007/SRR14530807/SRR14530807_2.fastq.gz	NC_8_28_2020
SRR14530808	SAMN19167912	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/008/SRR14530808/SRR14530808_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/008/SRR14530808/SRR14530808_2.fastq.gz	NC_8_14_2020
SRR14530809	SAMN19167911	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/009/SRR14530809/SRR14530809_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/009/SRR14530809/SRR14530809_2.fastq.gz	NC_10_23_2020
SRR14530810	SAMN19167910	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/010/SRR14530810/SRR14530810_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/010/SRR14530810/SRR14530810_2.fastq.gz	NC_10_09_2020
SRR14530811	SAMN19167909	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/011/SRR14530811/SRR14530811_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/011/SRR14530811/SRR14530811_2.fastq.gz	JWPCP_9_22_2020
SRR14530812	SAMN19167891	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/012/SRR14530812/SRR14530812_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/012/SRR14530812/SRR14530812_2.fastq.gz	HTP_10_20_2020
SRR14530813	SAMN19167908	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/013/SRR14530813/SRR14530813_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/013/SRR14530813/SRR14530813_2.fastq.gz	JWPCP_9_15_2020
SRR14530814	SAMN19167907	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/014/SRR14530814/SRR14530814_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/014/SRR14530814/SRR14530814_2.fastq.gz	JWPCP_9_08_2020
SRR14530815	SAMN19168068	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/015/SRR14530815/SRR14530815_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/015/SRR14530815/SRR14530815_2.fastq.gz	SJ_9_23_2020
SRR14530816	SAMN19168067	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/016/SRR14530816/SRR14530816_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/016/SRR14530816/SRR14530816_2.fastq.gz	SJ_11_4_2020
SRR14530817	SAMN19168066	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/017/SRR14530817/SRR14530817_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/017/SRR14530817/SRR14530817_2.fastq.gz	SJ_11_18_2020
SRR14530818	SAMN19167899	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/018/SRR14530818/SRR14530818_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/018/SRR14530818/SRR14530818_2.fastq.gz	JW_10_20_2020
SRR14530819	SAMN19167890	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/019/SRR14530819/SRR14530819_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/019/SRR14530819/SRR14530819_2.fastq.gz	HTP_10_13_2020
SRR14530820	SAMN19167889	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/020/SRR14530820/SRR14530820_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/020/SRR14530820/SRR14530820_2.fastq.gz	HTP_10_02_2020
SRR14530821	SAMN19168065	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/021/SRR14530821/SRR14530821_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/021/SRR14530821/SRR14530821_2.fastq.gz	SJ_11_11_2020
SRR14530822	SAMN19168064	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/022/SRR14530822/SRR14530822_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/022/SRR14530822/SRR14530822_2.fastq.gz	SB_11_5_2020
